iP,jD,Pset_req,d,P_calc,ZVS_pri,ZVS_sec,thumb_path
1,6,0,0.313291666667,5.51226609782e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d313292_P000001.png
2,6,0.0182265703413,0.313291666667,0.0167120096087,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d313292_P018227.png
3,6,0.0364531406826,0.313291666667,0.0334515805479,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d313292_P036453.png
4,6,0.0546797110239,0.313291666667,0.0498195361622,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d313292_P054680.png
5,6,0.0729062813653,0.313291666667,0.0741620969834,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d313292_P072906.png
6,6,0.0911328517066,0.313291666667,0.090549138819,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d313292_P091133.png
7,6,0.109359422048,0.313291666667,0.106935737705,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d313292_P109359.png
8,6,0.127585992389,0.313291666667,0.123557523329,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d313292_P127586.png
9,6,0.145812562731,0.313291666667,0.148134601543,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d313292_P145813.png
10,6,0.164039133072,0.313291666667,0.156107366047,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d313292_P164039.png
1,7,0,0.37575,0.000587924605375,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d375750_P000001.png
2,7,0.0218602488812,0.37575,0.0201523554493,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d375750_P021860.png
3,7,0.0437204977625,0.37575,0.0399863343773,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d375750_P043720.png
4,7,0.0655807466437,0.37575,0.0598190618996,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d375750_P065581.png
5,7,0.0874409955249,0.37575,0.0889607727593,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d375750_P087441.png
6,7,0.109301244406,0.37575,0.108631419621,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d375750_P109301.png
7,7,0.131161493287,0.37575,0.128255185988,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d375750_P131161.png
8,7,0.153021742169,0.37575,0.14801286458,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d375750_P153022.png
9,7,0.17488199105,0.37575,0.177455632977,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d375750_P174882.png
10,7,0.196742239931,0.37575,0.18711673357,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d375750_P196742.png
1,8,0,0.438208333333,0.000569999241351,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d438208_P000001.png
2,8,0.0254939274211,0.438208333333,0.0234057659492,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d438208_P025494.png
3,8,0.0509878548423,0.438208333333,0.0466132712927,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d438208_P050988.png
4,8,0.0764817822634,0.438208333333,0.0695839653572,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d438208_P076482.png
5,8,0.101975709685,0.438208333333,0.103737397436,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d438208_P101976.png
6,8,0.127469637106,0.438208333333,0.126514691034,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d438208_P127470.png
7,8,0.152963564527,0.438208333333,0.149667936305,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d438208_P152964.png
8,8,0.178457491948,0.438208333333,0.172366586528,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d438208_P178457.png
9,8,0.203951419369,0.438208333333,0.206823288494,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d438208_P203951.png
10,8,0.22944534679,0.438208333333,0.218254581975,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d438208_P229445.png
1,9,0,0.500666666667,0.000639884476301,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d500667_P000001.png
2,9,0.0291276059611,0.500666666667,0.0264795578869,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d500667_P029128.png
3,9,0.0582552119221,0.500666666667,0.0530903709011,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d500667_P058255.png
4,9,0.0873828178832,0.500666666667,0.0793193736983,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d500667_P087383.png
5,9,0.116510423844,0.500666666667,0.10537232096,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d500667_P116510.png
6,9,0.145638029805,0.500666666667,0.131330492079,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d500667_P145638.png
7,9,0.174765635766,0.500666666667,0.170856391193,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d500667_P174766.png
8,9,0.203893241727,0.500666666667,0.196885821387,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d500667_P203893.png
9,9,0.233020847688,0.500666666667,0.223477679173,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d500667_P233021.png
10,9,0.26214845365,0.500666666667,0.24949279463,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d500667_P262148.png
1,10,0,0.563125,0.000785563113507,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d563125_P000001.png
2,10,0.032761284501,0.563125,0.029919197364,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d563125_P032761.png
3,10,0.065522569002,0.563125,0.0594002486706,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d563125_P065523.png
4,10,0.0982838535029,0.563125,0.0890959497902,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d563125_P098284.png
5,10,0.131045138004,0.563125,0.119102107575,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d563125_P131045.png
6,10,0.163806422505,0.563125,0.148073533659,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d563125_P163806.png
7,10,0.196567707006,0.563125,0.191737396194,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d563125_P196568.png
8,10,0.229328991507,0.563125,0.221488475974,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d563125_P229329.png
