iP,jD,Pset_req,d,P_calc,ZVS_pri,ZVS_sec,thumb_path
8,5,0.0255942162037,0.250833333333,0.0255795766221,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d250833_P025594.png
9,5,0.0292505328042,0.250833333333,0.0292375666961,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d250833_P029251.png
10,5,0.0329068494047,0.250833333333,0.0329028387675,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d250833_P032907.png
1,6,0,0.313291666667,9.8433323175e-07,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d313292_P000001.png
2,6,0.00522835241545,0.313291666667,0.00522728194057,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d313292_P005228.png
3,6,0.0104567048309,0.313291666667,0.0104510202815,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d313292_P010457.png
4,6,0.0156850572463,0.313291666667,0.0156816686417,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d313292_P015685.png
5,6,0.0209134096618,0.313291666667,0.0209091277623,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d313292_P020913.png
6,6,0.0261417620772,0.313291666667,0.0261294799969,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d313292_P026142.png
7,6,0.0313701144927,0.313291666667,0.0313688101762,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d313292_P031370.png
